SubjectID,StimulusType,accuracy,RT
1001,0,0.95,19.6
1001,1,1.0,408.7625
1002,0,0.85,38.45
1002,1,1.0,335.45
1003,0,0.8,51.6
1003,1,0.9875,278.825
1004,0,0.9,37.25
1004,1,1.0,377.65
1005,0,0.75,67.4
1005,1,1.0,380.5625
1006,0,0.85,39.8
1006,1,1.0,342.3625
1007,0,0.9,29.35
1007,1,1.0,349.4875
1008,0,1.0,0.0
1008,1,0.9875,363.3875
2001,0,0.9,42.5
2001,1,0.9875,449.3625
2002,0,0.9,39.4
2002,1,0.9875,464.9125
2003,0,0.95,14.15
2003,1,1.0,348.65
2004,0,0.9,35.0
2004,1,1.0,335.8375
2005,0,0.7,67.05
2005,1,1.0,370.425
2006,0,1.0,0.0
2006,1,1.0,279.875
2007,0,0.95,18.5
2007,1,1.0,359.1625
2008,0,0.95,14.5
2008,1,1.0,370.0125
3001,0,0.85,40.55
3001,1,1.0,393.175
3002,0,0.9,33.65
3002,1,1.0,355.475
3003,0,0.85,44.95
3003,1,1.0,350.6125
3004,0,0.9,24.65
3004,1,1.0,344.2125
3005,0,1.0,0.0
3005,1,1.0,425.6
3006,0,0.8,56.5
3006,1,1.0,385.575
3007,0,0.65,125.5
3007,1,1.0,319.075
3008,0,0.95,14.45
3008,1,0.9625,295.6625
4001,0,0.95,14.45
4001,1,1.0,409.1625
4002,0,0.9,38.75
4002,1,1.0,340.3375
4003,0,0.85,39.1
4003,1,1.0,309.8625
4004,0,0.85,35.65
4004,1,1.0,310.9125
4005,0,1.0,0.0
4005,1,1.0,470.825
4006,0,0.95,12.75
4006,1,1.0,404.9125
4007,0,1.0,0.0
4007,1,1.0,357.2
4008,0,0.85,40.8
4008,1,1.0,337.725
5001,0,0.85,47.5
5001,1,1.0,357.0
5002,0,0.45,144.9
5002,1,1.0,343.05
5003,0,0.85,27.15
5003,1,1.0,330.2375
5004,0,0.95,16.95
5004,1,1.0,339.0125
5005,0,0.95,13.55
5005,1,1.0,299.0625
5006,0,0.9,25.4
5006,1,1.0,311.375
5007,0,0.95,22.25
5007,1,1.0,449.2375
5008,0,1.0,0.0
5008,1,1.0,352.8375
6001,0,0.95,12.05
6001,1,1.0,283.8625
6002,0,1.0,0.0
6002,1,1.0,386.8125
6003,0,0.8,59.45
6003,1,1.0,296.4375
6004,0,0.95,14.15
6004,1,1.0,288.85
6005,0,1.0,0.0
6005,1,1.0,390.3625
6006,0,1.0,0.0
6006,1,1.0,402.9
6007,0,1.0,0.0
6007,1,1.0,371.425
6008,0,0.8,103.1
6008,1,0.9875,320.6
6009,0,0.75,51.85
6009,1,1.0,306.0
7001,0,0.4,109.1
7001,1,0.9875,293.45
7002,0,0.55,125.45
7002,1,0.8875,311.6625
7003,0,0.95,19.05
7003,1,0.9625,465.3625
7004,0,0.9,29.9
7004,1,1.0,336.55
7005,0,0.95,19.3
7005,1,1.0,323.275
7006,0,0.8,74.75
7006,1,0.9125,425.5125
7007,0,0.5,261.64285714285717
7007,1,0.813953488372093,408.6511627906977
7008,0,0.35714285714285715,270.5
7008,1,0.8953488372093024,360.2325581395349
8001,0,0.7,90.6
8001,1,1.0,342.2125
8002,0,0.85,49.2
8002,1,1.0,357.7625
8003,0,1.0,0.0
8003,1,1.0,435.1625
8004,0,0.9,32.15
8004,1,0.9875,340.2125
8005,0,0.7,99.75
8005,1,1.0,321.75
8006,0,0.75,74.45
8006,1,1.0,328.9625
8007,0,0.9,30.45
8007,1,1.0,355.3875
8008,0,1.0,0.0
8008,1,1.0,358.2
9001,0,0.6,77.2
9001,1,0.4125,161.65
9002,0,0.95,17.7
9002,1,1.0,362.875
9003,0,0.95,14.4
9003,1,0.975,392.2625
9004,0,0.95,11.9
9004,1,1.0,305.0375
9005,0,1.0,0.0
9005,1,0.9875,364.875
9006,0,0.95,17.1
9006,1,1.0,427.4375
9007,0,0.95,11.7
9007,1,1.0,307.9375
9008,0,0.95,2.5
9008,1,1.0,328.1875
9009,0,1.0,0.0
9009,1,1.0,439.7
9010,0,0.8,54.2
9010,1,1.0,313.775
9011,0,0.9,24.95
9011,1,1.0,357.725
9012,0,0.8,58.05
9012,1,1.0,325.5125
9013,0,0.85,34.85
9013,1,1.0,350.55
9014,0,0.95,14.45
9014,1,1.0,328.325
10001,0,0.75,73.8
10001,1,1.0,355.6625
10002,0,0.9,24.1
10002,1,1.0,297.0875
10003,0,0.85,36.25
10003,1,1.0,341.3
10004,0,0.9,30.55
10004,1,1.0,343.175
10005,0,0.85,41.1
10005,1,1.0,307.2875
10006,0,0.85,33.05
10006,1,1.0,305.825
10007,0,0.8,55.7
10007,1,1.0,305.45
10008,0,0.9,30.85
10008,1,1.0,360.775
11001,0,0.85,37.45
11001,1,1.0,305.6625
11002,0,0.95,16.6
11002,1,1.0,306.35
11003,0,0.75,68.45
11003,1,0.8625,370.3875
11004,0,0.6,131.2
11004,1,0.9,393.1875
11005,0,0.85,46.45
11005,1,0.9625,382.5625
11006,0,0.8,64.2
11006,1,0.975,413.3375
